CSD,Period,"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Key
Chestermere,2021,200,0,10,0,1330,585,540,5395,Chestermere2021
Child Lake 164A,2001,0,0,0,5,0,0,0,40,Child Lake 164A2001
Child Lake 164A,2006,0,0,0,0,0,0,0,50,Child Lake 164A2006
Child Lake 164A,2011,0,0,0,5,0,0,0,50,Child Lake 164A2011
Child Lake 164A,2016,0,0,0,10,0,0,0,55,Child Lake 164A2016
Child Lake 164A,2021,0,0,0,10,0,0,0,50,Child Lake 164A2021
Chipman,2001,0,0,0,5,0,5,0,95,Chipman2001
Chipman,2006,0,0,0,10,0,0,0,95,Chipman2006
Chipman,2011,0,0,0,30,5,5,0,100,Chipman2011
Chipman,2016,0,0,0,20,0,5,0,95,Chipman2016
Chipman,2021,0,0,0,25,10,0,0,90,Chipman2021
Claresholm,2001,185,0,20,55,5,45,70,1135,Claresholm2001
Claresholm,2006,215,0,10,105,0,55,80,1110,Claresholm2006
Claresholm,2011,105,0,90,105,5,40,120,1175,Claresholm2011
Claresholm,2016,150,5,40,70,5,55,70,1250,Claresholm2016
Claresholm,2021,185,0,20,70,400,65,130,1245,Claresholm2021
Clear Hills,2001,0,0,0,210,0,5,0,685,Clear Hills2001
Clear Hills,2006,0,0,15,55,0,0,0,815,Clear Hills2006
Clear Hills,2011,0,0,0,160,0,5,5,720,Clear Hills2011
Clear Hills,2016,5,0,0,230,0,0,5,700,Clear Hills2016
Clear Hills,2021,0,0,0,215,0,0,0,710,Clear Hills2021
Clear Hills 152C,2021,0,0,0,0,0,0,0,0,Clear Hills 152C2021
Clearwater County,2001,65,0,5,1170,5,5,10,2920,Clearwater County2001
Clearwater County,2006,0,0,50,740,50,40,40,3510,Clearwater County2006
Clearwater County,2011,0,0,10,1260,10,5,10,3405,Clearwater County2011
Clearwater County,2016,0,0,0,880,10,0,45,3760,Clearwater County2016
Clearwater County,2021,0,0,0,1080,45,0,20,3690,Clearwater County2021
