CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4817033,Lesser Slave River No.124,2011,Cattle and Calves (number of),,11757.00000
4817033,Lesser Slave River No.124,2016,Cattle and Calves (number of),,10258.00000
4817033,Lesser Slave River No.124,2021,Cattle and Calves (number of),,10104.00000
4810058,Lamont County,2021,Cattle and Calves (number of),,28541.00000
4810058,Lamont County,2001,Cattle and Calves (number of)
4810058,Lamont County,2006,Cattle and Calves (number of),,52690.00000
4810058,Lamont County,2011,Cattle and Calves (number of),,35703.00000
4810058,Lamont County,2016,Cattle and Calves (number of),,43104.00000
4810048,Two Hills County No. 21,2001,Cattle and Calves (number of)
4810048,Two Hills County No. 21,2006,Cattle and Calves (number of),,92910.00000
4810048,Two Hills County No. 21,2011,Cattle and Calves (number of),,40311.00000
4810048,Two Hills County No. 21,2016,Cattle and Calves (number of),,37304.00000
4810048,Two Hills County No. 21,2021,Cattle and Calves (number of),,64564.00000
4814003,Yellowhead County,2021,Cattle and Calves (number of),,60209.00000
4814003,Yellowhead County,2001,Cattle and Calves (number of)
4814003,Yellowhead County,2006,Cattle and Calves (number of),,77731.00000
4814003,Yellowhead County,2011,Cattle and Calves (number of),,56111.00000
4814003,Yellowhead County,2016,Cattle and Calves (number of)
