,Unnamed: 0,fire_year,fire_number,fire_name,current_size,size_class,fire_location_latitude,fire_location_longitude,fire_start_date,wind_direction,wind_speed,Municipality
547,20093,2019,PWF061,,26.1,C,56.544398,-119.167243,43601.77083,E,24,Clear Hills County
548,20094,2019,LWF099,,33.67,C,54.579395,-111.600208,43603.45833,SE,12,Lac La Biche County
549,20096,2019,SWF069,McMillan Complex,58578.9,E,56.402597,-114.363598,43611.72917,SW,10,Municipal District of Opportunity
550,20135,2020,LWF048,,12,C,55.911708,-110.737363,43957.91667,NE,10,Wood Buffalo
551,20149,2019,HWF123,,54.1,D,59.881651,-119.211773,43662,SE,10,Mackenzie County
552,20169,2019,SWF018,,234.2,E,55.26675,-116.736035,43580.70833,NW,20,Big Lakes County
553,20180,2019,SWF090,,215.7,E,56.565313,-114.256105,43618.61458,W,8,Municipal District of Opportunity
554,20197,2018,EWF121,Rainbow Creek,363.3,E,53.076067,-117.131367,43430.41667,SW,75,Yellowhead County
555,20224,2019,HWF041,,38.2,C,59.184945,-117.303374,43597.375,W,16,Mackenzie County
556,20251,2019,PWF054,Battle Complex,74.23,D,57.182698,-117.792933,43596.88542,NW,10,County of Northern Lights
557,20269,2020,HWF033,,19.1,C,58.9675,-118.02185,44009.76389,N,15,Mackenzie County
558,20311,2019,MWF068,MCX-002 / Bocquene,46.7,D,59.800467,-110.82185,43664.72778,SE,12,Wood Buffalo
559,20313,2020,MWF014,,254.2,E,59.064833,-110.731,44010.57917,NE,13,Wood Buffalo
560,20342,2020,HWF038,,16.1,C,59.3925,-116.434333,44039.65278,NW,5,Mackenzie County
561,20345,2020,MWF018,,11.65,C,58.622933,-110.1806,44040.84514,N,2,Wood Buffalo
562,20366,2019,HWF091,,27.6,C,58.4566,-114.39675,43636.05764,NW,10,Mackenzie County
563,20392,2019,MWF056,MCX-002 / Bocquene,672.6,E,59.348817,-111.083183,43663.68403,E,8,Wood Buffalo
564,20395,2019,HWF126,,40.5,D,59.258067,-118.974367,43664.60069,E,15,Mackenzie County
565,20398,2019,MWF063,MCX-002 / Bocquene,436.9,E,59.602517,-110.6879,43664.67917,W,20,Wood Buffalo
566,20419,2019,SWF093,,100.3,D,56.838545,-113.508547,43618.69722,W,15,Municipal District of Opportunity
567,20449,2019,EWF043,West Pembina Road,163.9,D,53.342012,-115.866485,43608.70833,W,7,Yellowhead County
568,20546,2019,HWF140,,214.3,E,57.701633,-114.865,43667,SW,15,Mackenzie County
569,20547,2019,HWF141,,12.6,C,58.166597,-114.823417,43667,S,4,Mackenzie County
570,20548,2019,MWF069,,17.26,C,56.946783,-112.813633,43665.55208,S,10,Municipal District of Opportunity
571,20552,2019,MWF071,,12.84,C,59.826867,-111.631317,43668.57917,CLM,0,Wood Buffalo
572,20554,2019,MWF073,,145.1,D,57.112933,-112.652183,43669.66042,S,10,Wood Buffalo
573,20586,2019,SWF102,,149.8,D,56.336673,-113.717212,43623.625,NW,15,Municipal District of Opportunity
574,20591,2019,HWF088,,188,D,58.846433,-117.5365,43634,S,12,Mackenzie County
575,20592,2019,HWF089,,12.1,C,58.880358,-117.346207,43634.54167,S,10,Mackenzie County
576,20621,2019,LWF007,,20.9,C,54.87193,-112.782324,43449.5,NE,8,Athabasca County
577,20644,2019,SWF114,,15.3,C,55.345367,-115.060617,43633.5,W,5,Municipal District of Lesser Slave River
578,20674,2019,PWF052,Battle-Battle Complex,55179,E,57.087417,-117.928833,43596.875,NW,10,County of Northern Lights
579,20689,2019,MWF051,MCX-001 / Old Fort,27729.3,E,58.647883,-110.31355,43663.65903,SE,15,Wood Buffalo
